Stanowisko;Terminal;Pozycja;Nazwa
BM000817;579;1;KLK00817
BM000912;579;2;KLK00912
BM001041;577;1;KLK01041
BM001429;604;1;UDK4(3)
BM001651;577;2;KLK01651
BM002660;583;1;KDS3-PMT
BM002750;831;1;MM-CSZYN
BM002756;579;3;KLK02756
BM002868;577;3;MTK02868
BM002900;121;1;MFKDSP B
BM003000;577;4;KLK03000
BM003063;579;5;URTK/SP
BM003157;577;5;MTK03157
BM003162;583;3;KDS3-Zg.
BM003485;587;1;MSTBP2,5
BM003598;640;1;MDSTBV
BM003956;650;1;MSTBO-G
BM004046;605;1;UKK3/5
BM004315;696;1;ME-EBL
BM004404;650;2;MCO
BM004806;657;1;Peco
BM005041;616;1;MI-TAM01
BM005173;618;1;D-50/1
BM005558;639;1;MI-BNB/1
BM005677;575;1;FD-AML
BM005781;671;2;SP-FK1,5
BM005833;575;2;FD-AMS
BM005950;639;2;MI-BNB/2
BM006216;639;3;MI-GRAV
BM006444;325;1;Bartec
BM007088;657;3;Peco
BM007290;106;1;MTK-P/P
BM007339;314;12;VC-FSMA
BM007366;657;2;Peco
BM007749;836;1;ATX_7749
BM007896;662;1;FBRNI4+5
BM007914;319;8;KE2
BM007973;126;1;SMC 1.5
BM008004;315;2;Automat
BM008227;660;4;MMBlokSP
BM008284;679;1;AUT_SRUB
BM008291;319;12;KE 5
BM008480;617;1;D-35/1
BM008481;571;1;D-35/7
BM008799;317;4;KE 10
BM008808;319;13;KE 6
BM008842;316;4;SCHL 7
BM008897;577;6;K10-R-S
BM009025;319;5;ARB 11
BM009026;321;4;ARB 12
BM009067;327;2;PRAS SC1
BM009115;836;11;ARB 10
BM009337;620;1;PCO
BM009421;827;3;ATEX UT
BM009625;321;8;LASER
BM009777;321;7;KE 4
BM009778;319;4;KE 2
BM009992;315;6;PRAS ZF3
BM010180;529;1;A-470C
BM010290;324;1;KE 1
BM010378;696;2;ME-KREM
BM010450;660;3;MMBlokSC
BM010510;696;3;ME-FBSPV
BM010564;696;4;ME-CIECI
BM010707;589;1;PTSA
BM010716;671;1;SPAtexUT
BM010886;314;13;Automat
BM011205;663;1;ST011205
BM011329;836;10;Wtapiark
BM011915;602;1;MI-520/6
BM011925;625;1;MI520/14
BM011943;112;1;SP1 Mont
BM012009;694;1;MI-OKL01
BM013092;600;1;MFKDSP-p
BM013344;660;6;ST10/16
BM013479;321;6;ARB 9
BM013515;651;1;KAM_FBS
BM013578;532;1;A320 C-P
BM013587;575;3;FD-ZGRZ1
BM013599;575;4;FD-PRAS1
BM013656;635;1;MI520/15
BM013660;321;1;KE 3
BM013753;323;1;BM013753
BM013929;321;2;KE 7
BM014147;580;1;PT014147
BM014191;575;5;FD-PRAS2
BM014332;113;1;ST014332
BM014427;118;1;TMSTBP
BM014593;124;1;KLK14593
BM014689;621;1;MKDSP
BM014763;579;4;KLK14763
BM014788;836;3;BM014788
BM014818;570;1;FD-CRIM1
BM015017;500;1;A520 C/1
BM015018;501;1;D-150
BM015019;502;1;D-100/7
BM015020;503;1;D-100/4
BM015021;504;1;D-100/5
BM015022;505;1;D-100/8
BM015123;314;7;K_Elek
BM015142;621;2;MKDSP-p.
BM015165;506;1;A520 C/2
BM015167;507;1;D-100/1
BM015169;508;1;A-370 /2
BM015171;509;1;A320 S-G
BM015172;510;1;D-80/1
BM015173;511;1;A-320 K
BM015174;512;1;A270 U-G
BM015176;513;1;D-50/8
BM015177;514;1;A420 C-M
BM015178;515;1;D-50/10
BM015180;516;1;D-50/11
BM015181;517;1;D-50/12
BM015194;518;1;A320 S2K
BM015195;519;1;A420 C2K
BM015196;520;1;A520 C2K
BM015197;521;1;A420 CG
BM015198;522;1;D-100/6
BM015199;523;1;E-100.2
BM015200;524;1;E-100.1
BM015202;526;1;A-370/3
BM015203;534;1;D-35/14
BM015204;540;1;D-35/13
BM015206;541;1;D-50/6
BM015207;542;1;D-50/7
BM015209;543;1;D-35/9
BM015210;544;1;E-100.5
BM015211;545;1;D-35/4
BM015212;546;1;D-35/5
BM015213;535;1;D-50/5
BM015214;536;1;D-50/9
BM015215;537;1;D-35/10
BM015216;538;1;D-35/11
BM015218;547;1;D-35/6
BM015219;548;1;D-35/3
BM015220;549;1;D-35/2
BM015222;674;1;A-220 S
BM015224;552;1;D-50/2
BM015225;553;1;D-50/3
BM015226;554;1;D-50/4
BM015227;528;1;A370 U-G
BM015228;555;1;D-100/3
BM015229;556;1;D-100/2
BM015230;595;1;D-35/8
BM015380;314;2;SAC PRAS
BM015716;319;2;KE 9
BM015773;641;1;Kl. CWS
BM015779;641;2;KamFKMCP
BM015785;680;1;PT 2,5
BM015840;565;1;MI-520/1
BM015841;566;1;MI-570/2
BM015842;567;1;MI-570/3
BM015843;683;1;A-220S
BM015846;574;1;A-320/1
BM015847;574;2;A-320/2
BM015849;573;3;A-270 S
BM015850;562;1;D-50/13
BM015851;557;1;D-50/14
BM015871;559;1;D-50/15
BM015872;560;1;D-50/18
BM015873;561;1;D-50/19
BM015880;568;1;D-50/17
BM015881;563;1;D-50/16
BM015966;564;1;A-520A/4
BM015967;572;1;ME-PRW01
BM016076;576;1;D-160
BM016103;569;1;FD-OBTR1
BM016235;325;9;KE 8
BM016587;614;1;A-370C/7
BM016588;615;1;A-370C/8
BM016620;321;3;KE 11
BM016653;593;3;JF525
BM016654;593;1;JC500
BM016655;590;3;HSC55
BM016656;590;2;DMU2
BM016657;590;4;DMU1
BM016658;839;1;DMC1
BM016659;839;2;DMC2
BM016663;591;1;CUT1
BM016664;591;2;CUT2
BM016665;591;4;HP1
BM016666;591;5;HP2
BM016702;613;1;Comec
BM016704;640;2;RINCO 35
BM016706;613;2;TampoGr1
BM016707;613;3;TampoGr2
BM016716;569;2;FD-TRUNK
BM016717;569;3;FD-KOMPA
BM016724;569;4;FD-KESOL
BM016740;122;1;VBST4
BM016751;319;3;ARB 2
BM016752;324;6;ARB 4
BM016753;836;4;BM016753
BM016754;315;10;PRAS SC3
BM016755;326;2;SCH ST01
BM016756;315;5;SCHL 3
BM016757;318;3;PRAS SC4
BM016758;827;1;Tampodru
BM016759;320;2;PRAS SC5
BM016760;318;4;PRAS SC6
BM016761;319;1;ARB 1
BM016763;327;3;PRAS ZF2
BM016764;314;11;TAMPON 1
BM016765;326;1;SCHL 4
BM016767;325;2;ARB 3
BM016768;324;5;ARB 5
BM016769;316;3;SCHL 2
BM016770;320;3;PRAS SC7
BM016772;315;7;PRAS ZF1
BM016773;316;2;SCHL 6
BM016774;816;1;Tampodru
BM016776;321;5;ARB 6
BM016778;652;1;SP-Tampo
BM016779;324;4;ARB 7
BM016780;657;6;Branson
BM016781;316;1;SCHL 5
BM016782;324;3;ARB 8
BM016783;692;1;ME-MYJ01
BM016784;314;1;PLAZMA
BM016806;641;3;Videojet
BM016837;640;3;Licz.Sru
BM016874;696;10;ME-LURPS
BM016876;315;3;BM016876
BM016878;661;1;AUT_SRUB
BM016896;582;1;ZFKDS1,5
BM016903;652;2;SP-Tampo
BM016999;314;3;OptiMel
BM017029;836;5;BM017029
BM017031;836;6;BM017031
BM017245;667;7;PrasaPAI
BM017276;570;2;FD-CIEC1
BM017292;574;3;A-270S/E
BM017316;592;2;HSM500LP
BM017317;593;2;S 48
BM017385;569;5;FD-PLASM
BM017400;647;1;MM-TOX
BM017464;619;1;FD-PAKUM
BM017473;597;1;A-520C/5
BM017519;598;1;A-370A/4
BM017520;599;1;A-270A/1
BM017530;130;1;SP2 Mont
BM017569;111;1;PP-H
BM017674;640;4;HERM.20
BM017675;640;5;HERM.35
BM017760;578;1;A-270A/2
BM017858;525;1;A-370A/5
BM017859;550;1;A-370A/6
BM017952;641;4;DFMC
BM017991;681;1;SMKDS2,5
BM018105;611;1;MI-520/7
BM018110;120;1;ABB
BM018439;314;4;BM018439
BM018478;314;8;ZGRZEWAR
BM018603;649;1;CLIPFIX2
BM018880;315;1;BM018880
BM018920;570;3;FD-CIEC2
BM019098;582;2;ZFKDS NS
BM019119;810;2;PTRV
BM019120;684;1;PTRV-MON
BM019174;657;4;ETC
BM019182;657;7;Branson
BM019331;129;1;PTMC
BM019623;671;3;prasa
BM019643;639;4;MI-TOP_M
BM019764;570;4;FD-ZALEW
BM019938;651;2;KAM_FAME
BM019970;569;6;FD-CRIM7
BM020010;569;7;FD-LFUSE
BM020027;569;8;FD-CRIM5
BM020091;641;6;BM020091
BM020191;593;4;CTX
BM020239;592;1;HSM400U
BM020381;110;1;FLEX 1
BM020454;320;4;SCHL 8
BM020477;322;5;S500X1
BM020622;569;9;FD-CRIM6
BM020656;624;1;A-520A/8
BM020657;626;1;A-520A/9
BM020658;114;1;FLEX 2
BM020726;630;1;A-370A/9
BM020727;629;1;A-370A10
BM020761;628;1;A520A/10
BM020762;627;1;A520A/11
BM020789;660;5;MMBlokSP
BM020792;631;1;A520A/12
BM020800;632;1;BOYE25/1
BM020808;633;1;A-470 A
BM020816;634;1;A520A/13
BM020855;109;1;Hesi_Heb
BM020990;591;3;MV1200R
BM021066;573;1;A-370S
BM021092;645;1;BOYE25/2
BM021110;572;2;ME-PRW02
BM021113;322;2;Pakowark
BM021144;827;2;KameraPT
BM021160;119;1;PTDA
BM021268;322;1;LASER HC
BM021279;575;6;BM021279
BM021286;318;5;PRAS ZF4
BM021296;318;1;srubokre
BM021313;319;6;KE 7
BM021404;648;1;Blistry
BM021415;657;5;ASPA
BM021439;314;5;Werner 2
BM021451;324;7;TAMPON 4
BM021520;314;9;STRUNK02
BM021541;698;1;ME-PRM01
BM021583;659;1;MI-570/4
BM021616;325;5;SHD.KE1
BM021619;569;10;FD-KEPfG
BM021623;527;1;BOY50 2K
BM021631;325;6;ARB 13
BM021666;836;7;BM021666
BM021673;697;1;ME-GWI02
BM021680;318;2;PRAS S11
BM021723;314;6;Werner1
BM021731;317;1;LASER
BM021744;101;1;PT2,5-3L
BM021828;320;1;SCHL 9
BM021829;323;2;PRAS SC9
BM021889;125;1;PTFIX15
BM021920;575;7;FD-LASER
BM021921;613;4;TampoGr3
BM021922;575;8;FD-PAK1
BM021923;676;1;MI-570/5
BM021936;675;1;A-370A11
BM021943;327;1;PRAS S10
BM021944;320;5;SCHL 10
BM021950;315;4;SCHL 11
BM021970;319;7;TAMPON 3
BM022000;822;1;Tampodru
BM022003;677;1;MI520/16
BM022007;697;2;ME-GWI03
BM022033;323;4;Z+F AM03
BM022058;682;1;E-100.7
BM022093;592;3;FX4001
BM022094;592;4;FX4002
BM022095;616;10;MI-TAM02
BM022096;686;1;A-370A12
BM022097;687;1;A-370A13
BM022103;836;8;BM022103
BM022104;648;2;TampoGr4
BM022111;321;9;ARBURG
BM022112;319;11;ARBURG
BM022114;688;1;A-370E14
BM022116;689;1;A-370E15
