Maszyna	Terminal	Opis
BM000817	579	KLK00817
BM000912	579	KLK00912
BM001041	577	KLK01041
BM001429	604	UDK4(3)
BM001651	577	KLK01651
BM002660	583	KDS3-PMT
BM002750	831	MM-CSZYN
BM002756	579	KLK02756
BM002868	577	MTK02868
BM002900	121	MFKDSP B
BM003000	577	KLK03000
BM003063	579	URTK/SP
BM003157	577	MTK03157
BM003162	583	KDS3-Zg.
BM003485	587	MSTBP2,5
BM003598	640	MDSTBV
BM003956	650	MSTBO-G
BM004046	605	UKK3/5
BM004315	696	ME-EBL
BM004404	650	MCO
BM004806	657	Peco
BM005041	616	MI-TAM01
BM005173	618	D-50/1
BM005558	639	MI-BNB/1
BM005677	575	FD-AML
BM005781	671	SP-FK1,5
BM005833	575	FD-AMS
BM005950	639	MI-BNB/2
BM006216	639	MI-GRAV
BM006444	325	Bartec
BM007088	657	Peco
BM007290	106	MTK-P/P
BM007339	314	VC-FSMA
BM007366	657	Peco
BM007749	836	ATX_7749
BM007896	662	FBRNI4+5
BM007914	319	KE2
BM007973	126	SMC 1.5
BM008004	315	Automat
BM008227	660	MMBlokSP
BM008284	679	AUT_SRUB
BM008291	319	KE 5
BM008480	617	D-35/1
BM008481	571	D-35/7
BM008799	317	KE 10
BM008808	319	KE 6
BM008842	316	SCHL 7
BM008897	577	K10-R-S
BM009025	319	ARB 11
BM009026	321	ARB 12
BM009067	327	PRAS SC1
BM009115	836	ARB 10
BM009337	620	PCO
BM009421	827	ATEX UT
BM009625	321	LASER
BM009777	321	KE 4
BM009778	319	KE 2
BM009992	315	PRAS ZF3
BM010180	529	A-470C
BM010290	324	KE 1
BM010378	696	ME-KREM
BM010450	660	MMBlokSC
BM010510	696	ME-FBSPV
BM010564	696	ME-CIECI
BM010707	589	PTSA
BM010716	671	SPAtexUT
BM010886	314	Automat
BM011205	663	ST011205
BM011329	836	Wtapiark
BM011915	602	MI-520/6
BM011925	625	MI520/14
BM011943	112	SP1 Mont
BM012009	694	MI-OKL01
BM013092	600	MFKDSP-p
BM013344	660	ST10/16
BM013479	321	ARB 9
BM013515	651	KAM_FBS
BM013578	532	A320 C-P
BM013587	575	FD-ZGRZ1
BM013599	575	FD-PRAS1
BM013656	635	MI520/15
BM013660	321	KE 3
BM013753	323	BM013753
BM013929	321	KE 7
BM014147	580	PT014147
BM014191	575	FD-PRAS2
BM014332	113	ST014332
BM014427	118	TMSTBP
BM014593	124	KLK14593
BM014689	621	MKDSP
BM014763	579	KLK14763
BM014788	836	BM014788
BM014818	570	FD-CRIM1
BM015017	500	A520 C/1
BM015018	501	D-150
BM015019	502	D-100/7
BM015020	503	D-100/4
BM015021	504	D-100/5
BM015022	505	D-100/8
BM015123	314	K_Elek
BM015142	621	MKDSP-p.
BM015165	506	A520 C/2
BM015167	507	D-100/1
BM015169	508	A-370 /2
BM015171	509	A320 S-G
BM015172	510	D-80/1
BM015173	511	A-320 K
BM015174	512	A270 U-G
BM015176	513	D-50/8
BM015177	514	A420 C-M
BM015178	515	D-50/10
BM015180	516	D-50/11
BM015181	517	D-50/12
BM015194	518	A320 S2K
BM015195	519	A420 C2K
BM015196	520	A520 C2K
BM015197	521	A420 CG
BM015198	522	D-100/6
BM015199	523	E-100.2
BM015200	524	E-100.1
BM015202	526	A-370/3
BM015203	534	D-35/14
BM015204	540	D-35/13
BM015206	541	D-50/6
BM015207	542	D-50/7
BM015209	543	D-35/9
BM015210	544	E-100.5
BM015211	545	D-35/4
BM015212	546	D-35/5
BM015213	535	D-50/5
BM015214	536	D-50/9
BM015215	537	D-35/10
BM015216	538	D-35/11
BM015218	547	D-35/6
BM015219	548	D-35/3
BM015220	549	D-35/2
BM015222	674	A-220 S
BM015224	552	D-50/2
BM015225	553	D-50/3
BM015226	554	D-50/4
BM015227	528	A370 U-G
BM015228	555	D-100/3
BM015229	556	D-100/2
BM015230	595	D-35/8
BM015380	314	SAC PRAS
BM015716	319	KE 9
BM015773	641	Kl. CWS
BM015779	641	KamFKMCP
BM015785	680	PT 2,5
BM015840	565	MI-520/1
BM015841	566	MI-570/2
BM015842	567	MI-570/3
BM015843	683	A-220S
BM015846	574	A-320/1
BM015847	574	A-320/2
BM015849	573	A-270 S
BM015850	562	D-50/13
BM015851	557	D-50/14
BM015871	559	D-50/15
BM015872	560	D-50/18
BM015873	561	D-50/19
BM015880	568	D-50/17
BM015881	563	D-50/16
BM015966	564	A-520A/4
BM015967	572	ME-PRW01
BM016076	576	D-160
BM016103	569	FD-OBTR1
BM016235	325	KE 8
BM016587	614	A-370C/7
BM016588	615	A-370C/8
BM016620	321	KE 11
BM016653	593	JF525
BM016654	593	JC500
BM016655	590	HSC55
BM016656	590	DMU2
BM016657	590	DMU1
BM016658	839	DMC1
BM016659	839	DMC2
BM016663	591	CUT1
BM016664	591	CUT2
BM016665	591	HP1
BM016666	591	HP2
BM016702	613	Comec
BM016704	640	RINCO 35
BM016706	613	TampoGr1
BM016707	613	TampoGr2
BM016716	569	FD-TRUNK
BM016717	569	FD-KOMPA
BM016724	569	FD-KESOL
BM016740	122	VBST4
BM016751	319	ARB 2
BM016752	324	ARB 4
BM016753	836	BM016753
BM016754	315	PRAS SC3
BM016755	326	SCH ST01
BM016756	315	SCHL 3
BM016757	318	PRAS SC4
BM016758	827	Tampodru
BM016759	320	PRAS SC5
BM016760	318	PRAS SC6
BM016761	319	ARB 1
BM016763	327	PRAS ZF2
BM016764	314	TAMPON 1
BM016765	326	SCHL 4
BM016767	325	ARB 3
BM016768	324	ARB 5
BM016769	316	SCHL 2
BM016770	320	PRAS SC7
BM016772	315	PRAS ZF1
BM016773	316	SCHL 6
BM016774	816	Tampodru
BM016776	321	ARB 6
BM016778	652	SP-Tampo
BM016779	324	ARB 7
BM016780	657	Branson
BM016781	316	SCHL 5
BM016782	324	ARB 8
BM016783	692	ME-MYJ01
